,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
167,100.0,200.0,1.0,0.01,11.0,0.1,92.0,0.21363044,7524.0,313.5
168,100.0,200.0,1.0,0.01,12.0,0.01,195.0,0.45280365,15287.0,636.9583333333334
169,100.0,200.0,1.0,0.01,12.0,0.05,141.0,0.32741187,11482.0,478.4166666666667
170,100.0,200.0,1.0,0.01,12.0,0.1,105.0,0.24381735,8717.0,363.2083333333333
171,100.0,200.0,1.0,0.01,13.0,0.01,196.0,0.45512572,15795.0,658.125
172,100.0,200.0,1.0,0.01,13.0,0.05,156.0,0.36224292,13212.0,550.5
173,100.0,200.0,1.0,0.01,13.0,0.1,123.0,0.28561461,10543.0,439.2916666666667
174,100.0,200.0,1.0,0.01,14.0,0.01,201.0,0.46673607,16234.0,676.4166666666666
175,100.0,200.0,1.0,0.01,14.0,0.05,171.0,0.39707397,14232.0,593.0
176,100.0,200.0,1.0,0.01,14.0,0.1,146.0,0.33902222,12930.0,538.75
177,100.0,200.0,1.0,0.01,15.0,0.01,196.0,0.45512572,17316.0,721.5
178,100.0,200.0,1.0,0.01,15.0,0.05,191.0,0.44351537,16850.0,702.0833333333334
179,100.0,200.0,1.0,0.01,15.0,0.1,177.0,0.41100639,15230.0,634.5833333333334
180,100.0,200.0,1.0,0.01,16.0,0.01,200.0,0.464414,17339.0,722.4583333333334
181,100.0,200.0,1.0,0.01,16.0,0.05,203.0,0.47138021,17193.0,716.375
182,100.0,200.0,1.0,0.01,16.0,0.1,201.0,0.46673607,17304.0,721.0
183,100.0,200.0,1.0,0.01,17.0,0.01,201.0,0.46673607,17145.0,714.375
184,100.0,200.0,1.0,0.01,17.0,0.05,206.0,0.47834642,16609.0,692.0416666666666
185,100.0,200.0,1.0,0.01,17.0,0.1,203.0,0.47138021,16739.0,697.4583333333334
186,100.0,200.0,1.0,0.01,18.0,0.01,205.0,0.47602435,17103.0,712.625
187,100.0,200.0,1.0,0.01,18.0,0.05,202.0,0.46905814,17310.0,721.25
188,100.0,200.0,1.0,0.01,18.0,0.1,202.0,0.46905814,17360.0,723.3333333333334
