,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
159,100.0,200.0,1.0,0.01,15.0,0.01,201.0,0.46673607,16548.0,689.5
160,100.0,200.0,1.0,0.01,15.0,0.05,194.0,0.45048158,16235.0,676.4583333333334
161,100.0,200.0,1.0,0.01,15.0,0.1,183.0,0.42493881,14456.0,602.3333333333334
162,100.0,200.0,1.0,0.01,16.0,0.01,200.0,0.464414,17768.0,740.3333333333334
163,100.0,200.0,1.0,0.01,16.0,0.05,207.0,0.48066849,17332.0,722.1666666666666
164,100.0,200.0,1.0,0.01,16.0,0.1,208.0,0.48299056,16691.0,695.4583333333334
165,100.0,200.0,1.0,0.01,17.0,0.01,214.0,0.49692298,16969.0,707.0416666666666
166,100.0,200.0,1.0,0.01,17.0,0.05,207.0,0.48066849,18074.0,753.0833333333334
167,100.0,200.0,1.0,0.01,17.0,0.1,202.0,0.46905814,17479.0,728.2916666666666
168,100.0,200.0,1.0,0.05,10.0,0.01,40.0,0.0928828,3636.0,151.5
169,100.0,200.0,1.0,0.05,10.0,0.05,35.0,0.08127245,3072.0,128.0
170,100.0,200.0,1.0,0.05,10.0,0.1,31.0,0.07198417,3178.0,132.41666666666666
171,100.0,200.0,1.0,0.05,11.0,0.01,38.0,0.08823866,3812.0,158.83333333333334
172,100.0,200.0,1.0,0.05,11.0,0.05,39.0,0.09056073,3230.0,134.58333333333334
173,100.0,200.0,1.0,0.05,11.0,0.1,32.0,0.07430624,2756.0,114.83333333333333
174,100.0,200.0,1.0,0.05,12.0,0.01,41.0,0.09520487,3303.0,137.625
175,100.0,200.0,1.0,0.05,12.0,0.05,38.0,0.08823866,2966.0,123.58333333333333
176,100.0,200.0,1.0,0.05,12.0,0.1,35.0,0.08127245,3095.0,128.95833333333334
177,100.0,200.0,1.0,0.05,13.0,0.01,39.0,0.09056073,3405.0,141.875
178,100.0,200.0,1.0,0.05,13.0,0.05,40.0,0.0928828,3154.0,131.41666666666666
179,100.0,200.0,1.0,0.05,13.0,0.1,36.0,0.08359452,3128.0,130.33333333333334
180,100.0,200.0,1.0,0.05,14.0,0.01,43.0,0.09984901,3199.0,133.29166666666666
181,100.0,200.0,1.0,0.05,14.0,0.05,39.0,0.09056073,3379.0,140.79166666666666
182,100.0,200.0,1.0,0.05,14.0,0.1,37.0,0.08591659,3395.0,141.45833333333334
183,100.0,200.0,1.0,0.05,15.0,0.01,39.0,0.09056073,3727.0,155.29166666666666
184,100.0,200.0,1.0,0.05,15.0,0.05,41.0,0.09520487,3607.0,150.29166666666666
185,100.0,200.0,1.0,0.05,15.0,0.1,38.0,0.08823866,3691.0,153.79166666666666
186,100.0,200.0,1.0,0.05,16.0,0.01,42.0,0.09752694,3236.0,134.83333333333334
187,100.0,200.0,1.0,0.05,16.0,0.05,46.0,0.10681522,3542.0,147.58333333333334
188,100.0,200.0,1.0,0.05,16.0,0.1,40.0,0.0928828,3626.0,151.08333333333334
189,100.0,200.0,1.0,0.05,17.0,0.01,40.0,0.0928828,3887.0,161.95833333333334
190,100.0,200.0,1.0,0.05,17.0,0.05,40.0,0.0928828,3623.0,150.95833333333334
191,100.0,200.0,1.0,0.05,17.0,0.1,40.0,0.0928828,3418.0,142.41666666666666
192,100.0,200.0,1.0,0.1,10.0,0.01,20.0,0.0464414,1862.0,77.58333333333333
193,100.0,200.0,1.0,0.1,10.0,0.05,18.0,0.04179726,1796.0,74.83333333333333
194,100.0,200.0,1.0,0.1,10.0,0.1,19.0,0.04411933,1460.0,60.833333333333336
195,100.0,200.0,1.0,0.1,11.0,0.01,23.0,0.05340761,1960.0,81.66666666666667
196,100.0,200.0,1.0,0.1,11.0,0.05,20.0,0.0464414,1608.0,67.0
197,100.0,200.0,1.0,0.1,11.0,0.1,20.0,0.0464414,1574.0,65.58333333333333
198,100.0,200.0,1.0,0.1,12.0,0.01,21.0,0.04876347,1740.0,72.5
199,100.0,200.0,1.0,0.1,12.0,0.05,23.0,0.05340761,1770.0,73.75
200,100.0,200.0,1.0,0.1,12.0,0.1,19.0,0.04411933,1652.0,68.83333333333333
201,100.0,200.0,1.0,0.1,13.0,0.01,22.0,0.05108554,1835.0,76.45833333333333
202,100.0,200.0,1.0,0.1,13.0,0.05,22.0,0.05108554,1590.0,66.25
203,100.0,200.0,1.0,0.1,13.0,0.1,21.0,0.04876347,1530.0,63.75
204,100.0,200.0,1.0,0.1,14.0,0.01,23.0,0.05340761,1640.0,68.33333333333333
205,100.0,200.0,1.0,0.1,14.0,0.05,21.0,0.04876347,1600.0,66.66666666666667
206,100.0,200.0,1.0,0.1,14.0,0.1,20.0,0.0464414,1729.0,72.04166666666667
207,100.0,200.0,1.0,0.1,15.0,0.01,22.0,0.05108554,1679.0,69.95833333333333
208,100.0,200.0,1.0,0.1,15.0,0.05,21.0,0.04876347,1707.0,71.125
209,100.0,200.0,1.0,0.1,15.0,0.1,22.0,0.05108554,1665.0,69.375
210,100.0,200.0,1.0,0.1,16.0,0.01,21.0,0.04876347,1915.0,79.79166666666667
211,100.0,200.0,1.0,0.1,16.0,0.05,21.0,0.04876347,1912.0,79.66666666666667
212,100.0,200.0,1.0,0.1,16.0,0.1,22.0,0.05108554,2036.0,84.83333333333333
213,100.0,200.0,1.0,0.1,17.0,0.01,19.0,0.04411933,1802.0,75.08333333333333
214,100.0,200.0,1.0,0.1,17.0,0.05,20.0,0.0464414,1918.0,79.91666666666667
215,100.0,200.0,1.0,0.1,17.0,0.1,23.0,0.05340761,1384.0,57.666666666666664
216,100.0,250.0,1.0,0.01,10.0,0.01,188.0,0.43654916,15097.0,629.0416666666666
217,100.0,250.0,1.0,0.01,10.0,0.05,124.0,0.28793668,10480.0,436.6666666666667
218,100.0,250.0,1.0,0.01,10.0,0.1,88.0,0.20434216,7247.0,301.9583333333333
219,100.0,250.0,1.0,0.01,11.0,0.01,190.0,0.4411933,16646.0,693.5833333333334
220,100.0,250.0,1.0,0.01,11.0,0.05,137.0,0.31812359,10564.0,440.1666666666667
221,100.0,250.0,1.0,0.01,11.0,0.1,99.0,0.22988493,7515.0,313.125
222,100.0,250.0,1.0,0.01,12.0,0.01,200.0,0.464414,15835.0,659.7916666666666
223,100.0,250.0,1.0,0.01,12.0,0.05,149.0,0.34598843,12001.0,500.0416666666667
224,100.0,250.0,1.0,0.01,12.0,0.1,114.0,0.26471598,9193.0,383.0416666666667
225,100.0,250.0,1.0,0.01,13.0,0.01,200.0,0.464414,16223.0,675.9583333333334
226,100.0,250.0,1.0,0.01,13.0,0.05,160.0,0.3715312,13686.0,570.25
227,100.0,250.0,1.0,0.01,13.0,0.1,132.0,0.30651324,10133.0,422.2083333333333
228,100.0,250.0,1.0,0.01,14.0,0.01,205.0,0.47602435,17620.0,734.1666666666666
229,100.0,250.0,1.0,0.01,14.0,0.05,173.0,0.40171811,15445.0,643.5416666666666
230,100.0,250.0,1.0,0.01,14.0,0.1,156.0,0.36224292,12154.0,506.4166666666667
