,B_VALUE,C_VALUE,BETA_S1,BETA_S2,transactions,ETH
245,500.0,500.0,0.1,200.0,51.0,0.11842557
246,500.0,500.0,0.1,300.0,27.0,0.06269589
247,500.0,500.0,0.1,400.0,18.0,0.04179726
248,500.0,600.0,0.01,100.0,281600.0,653.894912
249,500.0,600.0,0.01,200.0,494.0,1.14710258
250,500.0,600.0,0.01,300.0,251.0,0.58283957
251,500.0,600.0,0.01,400.0,169.0,0.39242983
252,500.0,600.0,0.1,100.0,28166.0,65.40342362
253,500.0,600.0,0.1,200.0,51.0,0.11842557
254,500.0,600.0,0.1,300.0,27.0,0.06269589
255,500.0,600.0,0.1,400.0,18.0,0.04179726
256,500.0,700.0,0.01,100.0,241517.0,560.81938019
257,500.0,700.0,0.01,200.0,493.0,1.14478051
258,500.0,700.0,0.01,300.0,251.0,0.58283957
259,500.0,700.0,0.01,400.0,169.0,0.39242983
260,500.0,700.0,0.1,100.0,24157.0,56.09424499
261,500.0,700.0,0.1,200.0,51.0,0.11842557
262,500.0,700.0,0.1,300.0,27.0,0.06269589
263,500.0,700.0,0.1,400.0,18.0,0.04179726
264,500.0,800.0,0.01,100.0,211454.0,491.01098978
265,500.0,800.0,0.01,200.0,492.0,1.14245844
266,500.0,800.0,0.01,300.0,250.0,0.5805175
267,500.0,800.0,0.01,400.0,168.0,0.39010776
268,500.0,800.0,0.1,100.0,21151.0,49.11410257
269,500.0,800.0,0.1,200.0,51.0,0.11842557
270,500.0,800.0,0.1,300.0,27.0,0.06269589
271,500.0,800.0,0.1,400.0,18.0,0.04179726
272,500.0,900.0,0.01,100.0,188072.0,436.71634904
273,500.0,900.0,0.01,200.0,491.0,1.14013637
274,500.0,900.0,0.01,300.0,250.0,0.5805175
275,500.0,900.0,0.01,400.0,168.0,0.39010776
276,500.0,900.0,0.1,100.0,18813.0,43.68510291
277,500.0,900.0,0.1,200.0,51.0,0.11842557
278,500.0,900.0,0.1,300.0,27.0,0.06269589
279,500.0,900.0,0.1,400.0,18.0,0.04179726
280,500.0,1000.0,0.01,100.0,169366.0,393.27970762
281,500.0,1000.0,0.01,200.0,490.0,1.1378143
282,500.0,1000.0,0.01,300.0,250.0,0.5805175
283,500.0,1000.0,0.01,400.0,168.0,0.39010776
284,500.0,1000.0,0.1,100.0,16942.0,39.34050994
285,500.0,1000.0,0.1,200.0,51.0,0.11842557
286,500.0,1000.0,0.1,300.0,27.0,0.06269589
287,500.0,1000.0,0.1,400.0,18.0,0.04179726
288,600.0,200.0,0.01,100.0,1455765.0,3380.38823355
289,600.0,200.0,0.01,200.0,601.0,1.39556407
290,600.0,200.0,0.01,300.0,303.0,0.70358721
291,600.0,200.0,0.01,400.0,203.0,0.47138021
292,600.0,200.0,0.1,100.0,145583.0,338.05391681
293,600.0,200.0,0.1,200.0,62.0,0.14396834
294,600.0,200.0,0.1,300.0,32.0,0.07430624
295,600.0,200.0,0.1,400.0,22.0,0.05108554
296,600.0,300.0,0.01,100.0,970916.0,2254.53491612
297,600.0,300.0,0.01,200.0,599.0,1.39091993
298,600.0,300.0,0.01,300.0,302.0,0.70126514
299,600.0,300.0,0.01,400.0,203.0,0.47138021
300,600.0,300.0,0.1,100.0,97098.0,225.46835286
301,600.0,300.0,0.1,200.0,62.0,0.14396834
302,600.0,300.0,0.1,300.0,32.0,0.07430624
303,600.0,300.0,0.1,400.0,22.0,0.05108554
304,600.0,400.0,0.01,100.0,728492.0,1691.60941844
305,600.0,400.0,0.01,200.0,597.0,1.38627579
306,600.0,400.0,0.01,300.0,302.0,0.70126514
307,600.0,400.0,0.01,400.0,203.0,0.47138021
308,600.0,400.0,0.1,100.0,72855.0,169.17440985
309,600.0,400.0,0.1,200.0,61.0,0.14164627
310,600.0,400.0,0.1,300.0,32.0,0.07430624
311,600.0,400.0,0.1,400.0,22.0,0.05108554
312,600.0,500.0,0.01,100.0,583037.0,1353.85272659
313,600.0,500.0,0.01,200.0,596.0,1.38395372
314,600.0,500.0,0.01,300.0,302.0,0.70126514
315,600.0,500.0,0.01,400.0,202.0,0.46905814
316,600.0,500.0,0.1,100.0,58310.0,135.3999017
317,600.0,500.0,0.1,200.0,61.0,0.14164627
318,600.0,500.0,0.1,300.0,32.0,0.07430624
319,600.0,500.0,0.1,400.0,22.0,0.05108554
320,600.0,600.0,0.01,100.0,486067.0,1128.68159869
321,600.0,600.0,0.01,200.0,595.0,1.38163165
322,600.0,600.0,0.01,300.0,301.0,0.69894307
323,600.0,600.0,0.01,400.0,202.0,0.46905814
324,600.0,600.0,0.1,100.0,48613.0,112.88278891
325,600.0,600.0,0.1,200.0,61.0,0.14164627
326,600.0,600.0,0.1,300.0,32.0,0.07430624
327,600.0,600.0,0.1,400.0,22.0,0.05108554
328,600.0,700.0,0.01,100.0,416803.0,967.84574221
329,600.0,700.0,0.01,200.0,594.0,1.37930958
330,600.0,700.0,0.01,300.0,301.0,0.69894307
331,600.0,700.0,0.01,400.0,202.0,0.46905814
332,600.0,700.0,0.1,100.0,41686.0,96.79781002
333,600.0,700.0,0.1,200.0,61.0,0.14164627
334,600.0,700.0,0.1,300.0,32.0,0.07430624
335,600.0,700.0,0.1,400.0,22.0,0.05108554
336,600.0,800.0,0.01,100.0,364855.0,847.21884985
337,600.0,800.0,0.01,200.0,593.0,1.37698751
338,600.0,800.0,0.01,300.0,301.0,0.69894307
339,600.0,800.0,0.01,400.0,202.0,0.46905814
340,600.0,800.0,0.1,100.0,36491.0,84.73465637
341,600.0,800.0,0.1,200.0,61.0,0.14164627
342,600.0,800.0,0.1,300.0,32.0,0.07430624
343,600.0,800.0,0.1,400.0,22.0,0.05108554
344,600.0,900.0,0.01,100.0,324451.0,753.39793357
345,600.0,900.0,0.01,200.0,592.0,1.37466544
346,600.0,900.0,0.01,300.0,301.0,0.69894307
347,600.0,900.0,0.01,400.0,202.0,0.46905814
348,600.0,900.0,0.1,100.0,32451.0,75.35349357
349,600.0,900.0,0.1,200.0,61.0,0.14164627
350,600.0,900.0,0.1,300.0,32.0,0.07430624
351,600.0,900.0,0.1,400.0,22.0,0.05108554
352,600.0,1000.0,0.01,100.0,292127.0,678.33934289
353,600.0,1000.0,0.01,200.0,591.0,1.37234337
354,600.0,1000.0,0.01,300.0,300.0,0.696621
355,600.0,1000.0,0.01,400.0,202.0,0.46905814
356,600.0,1000.0,0.1,100.0,29219.0,67.84856333
357,600.0,1000.0,0.1,200.0,61.0,0.14164627
358,600.0,1000.0,0.1,300.0,32.0,0.07430624
359,600.0,1000.0,0.1,400.0,22.0,0.05108554
360,700.0,200.0,0.01,100.0,2311186.0,5366.73567502
361,700.0,200.0,0.01,200.0,702.0,1.63009314
362,700.0,200.0,0.01,300.0,353.0,0.81969071
363,700.0,200.0,0.01,400.0,237.0,0.55033059
364,700.0,200.0,0.1,100.0,231125.0,536.68842875
365,700.0,200.0,0.1,200.0,72.0,0.16718904
366,700.0,200.0,0.1,300.0,37.0,0.08591659
367,700.0,200.0,0.1,400.0,25.0,0.05805175
368,700.0,300.0,0.01,100.0,1541264.0,3578.92289648
369,700.0,300.0,0.01,200.0,700.0,1.625449
370,700.0,300.0,0.01,300.0,353.0,0.81969071
371,700.0,300.0,0.01,400.0,236.0,0.54800852
372,700.0,300.0,0.1,100.0,154133.0,357.90761531
373,700.0,300.0,0.1,200.0,72.0,0.16718904
374,700.0,300.0,0.1,300.0,37.0,0.08591659
375,700.0,300.0,0.1,400.0,25.0,0.05805175
376,700.0,400.0,0.01,100.0,1156303.0,2685.01650721
377,700.0,400.0,0.01,200.0,698.0,1.62080486
378,700.0,400.0,0.01,300.0,353.0,0.81969071
379,700.0,400.0,0.01,400.0,236.0,0.54800852
380,700.0,400.0,0.1,100.0,115637.0,268.51720859
381,700.0,400.0,0.1,200.0,72.0,0.16718904
382,700.0,400.0,0.1,300.0,37.0,0.08591659
383,700.0,400.0,0.1,400.0,25.0,0.05805175
384,700.0,500.0,0.01,100.0,925327.0,2148.67406689
385,700.0,500.0,0.01,200.0,697.0,1.61848279
386,700.0,500.0,0.01,300.0,352.0,0.81736864
387,700.0,500.0,0.01,400.0,236.0,0.54800852
388,700.0,500.0,0.1,100.0,92539.0,214.88203573
389,700.0,500.0,0.1,200.0,71.0,0.16486697
390,700.0,500.0,0.1,300.0,37.0,0.08591659
391,700.0,500.0,0.1,400.0,25.0,0.05805175
392,700.0,600.0,0.01,100.0,771342.0,1791.11011794
393,700.0,600.0,0.01,200.0,696.0,1.61616072
394,700.0,600.0,0.01,300.0,352.0,0.81736864
395,700.0,600.0,0.01,400.0,236.0,0.54800852
396,700.0,600.0,0.1,100.0,77140.0,179.1244798
397,700.0,600.0,0.1,200.0,71.0,0.16486697
398,700.0,600.0,0.1,300.0,37.0,0.08591659
399,700.0,600.0,0.1,400.0,25.0,0.05805175
400,700.0,700.0,0.01,100.0,661353.0,1535.70796071
401,700.0,700.0,0.01,200.0,695.0,1.61383865
402,700.0,700.0,0.01,300.0,352.0,0.81736864
403,700.0,700.0,0.01,400.0,236.0,0.54800852
404,700.0,700.0,0.1,100.0,66141.0,153.58403187
405,700.0,700.0,0.1,200.0,71.0,0.16486697
406,700.0,700.0,0.1,300.0,37.0,0.08591659
407,700.0,700.0,0.1,400.0,25.0,0.05805175
408,700.0,800.0,0.01,100.0,578862.0,1344.15808434
409,700.0,800.0,0.01,200.0,694.0,1.61151658
410,700.0,800.0,0.01,300.0,351.0,0.81504657
411,700.0,800.0,0.01,400.0,236.0,0.54800852
412,700.0,800.0,0.1,100.0,57892.0,134.42927644
413,700.0,800.0,0.1,200.0,71.0,0.16486697
414,700.0,800.0,0.1,300.0,37.0,0.08591659
415,700.0,800.0,0.1,400.0,25.0,0.05805175
416,700.0,900.0,0.01,100.0,514701.0,1195.17175107
417,700.0,900.0,0.01,200.0,693.0,1.60919451
418,700.0,900.0,0.01,300.0,351.0,0.81504657
419,700.0,900.0,0.01,400.0,236.0,0.54800852
420,700.0,900.0,0.1,100.0,51476.0,119.53087532
421,700.0,900.0,0.1,200.0,71.0,0.16486697
422,700.0,900.0,0.1,300.0,37.0,0.08591659
423,700.0,900.0,0.1,400.0,25.0,0.05805175
424,700.0,1000.0,0.01,100.0,463373.0,1075.98454211
425,700.0,1000.0,0.01,200.0,692.0,1.60687244
426,700.0,1000.0,0.01,300.0,351.0,0.81504657
427,700.0,1000.0,0.01,400.0,236.0,0.54800852
428,700.0,1000.0,0.1,100.0,46343.0,107.61169001
429,700.0,1000.0,0.1,200.0,71.0,0.16486697
430,700.0,1000.0,0.1,300.0,37.0,0.08591659
431,700.0,1000.0,0.1,400.0,25.0,0.05805175
432,800.0,200.0,0.01,100.0,3449435.0,8009.82953045
433,800.0,200.0,0.01,200.0,803.0,1.86462221
434,800.0,200.0,0.01,300.0,404.0,0.93811628
435,800.0,200.0,0.01,400.0,270.0,0.6269589
436,800.0,200.0,0.1,100.0,344950.0,800.9980465
437,800.0,200.0,0.1,200.0,82.0,0.19040974
438,800.0,200.0,0.1,300.0,42.0,0.09752694
439,800.0,200.0,0.1,400.0,28.0,0.06501796
440,800.0,300.0,0.01,100.0,2300164.0,5341.14181948
441,800.0,300.0,0.01,200.0,801.0,1.85997807
442,800.0,300.0,0.01,300.0,403.0,0.93579421
443,800.0,300.0,0.01,400.0,270.0,0.6269589
444,800.0,300.0,0.1,100.0,230023.0,534.12950761
445,800.0,300.0,0.1,200.0,82.0,0.19040974
446,800.0,300.0,0.1,300.0,42.0,0.09752694
447,800.0,300.0,0.1,400.0,28.0,0.06501796
448,800.0,400.0,0.01,100.0,1725529.0,4006.79912503
449,800.0,400.0,0.01,200.0,799.0,1.85533393
450,800.0,400.0,0.01,300.0,403.0,0.93579421
451,800.0,400.0,0.01,400.0,270.0,0.6269589
452,800.0,400.0,0.1,100.0,172559.0,400.69407713
453,800.0,400.0,0.1,200.0,82.0,0.19040974
454,800.0,400.0,0.1,300.0,42.0,0.09752694
455,800.0,400.0,0.1,400.0,28.0,0.06501796
456,800.0,500.0,0.01,100.0,1380748.0,3206.19350836
457,800.0,500.0,0.01,200.0,798.0,1.85301186
458,800.0,500.0,0.01,300.0,403.0,0.93579421
459,800.0,500.0,0.01,400.0,270.0,0.6269589
460,800.0,500.0,0.1,100.0,138081.0,320.63374767
461,800.0,500.0,0.1,200.0,82.0,0.19040974
462,800.0,500.0,0.1,300.0,42.0,0.09752694
463,800.0,500.0,0.1,400.0,28.0,0.06501796
464,800.0,600.0,0.01,100.0,1150893.0,2672.45410851
465,800.0,600.0,0.01,200.0,797.0,1.85068979
466,800.0,600.0,0.01,300.0,402.0,0.93347214
467,800.0,600.0,0.01,400.0,270.0,0.6269589
468,800.0,600.0,0.1,100.0,115096.0,267.26096872
469,800.0,600.0,0.1,200.0,81.0,0.18808767
470,800.0,600.0,0.1,300.0,42.0,0.09752694
471,800.0,600.0,0.1,400.0,28.0,0.06501796
472,800.0,700.0,0.01,100.0,986712.0,2291.21433384
473,800.0,700.0,0.01,200.0,796.0,1.84836772
474,800.0,700.0,0.01,300.0,402.0,0.93347214
475,800.0,700.0,0.01,400.0,270.0,0.6269589
476,800.0,700.0,0.1,100.0,98677.0,229.13490139
477,800.0,700.0,0.1,200.0,81.0,0.18808767
478,800.0,700.0,0.1,300.0,42.0,0.09752694
479,800.0,700.0,0.1,400.0,28.0,0.06501796
480,800.0,800.0,0.01,100.0,863575.0,2005.28160025
481,800.0,800.0,0.01,200.0,795.0,1.84604565
482,800.0,800.0,0.01,300.0,402.0,0.93347214
483,800.0,800.0,0.01,400.0,269.0,0.62463683
484,800.0,800.0,0.1,100.0,86364.0,200.54325348
485,800.0,800.0,0.1,200.0,81.0,0.18808767
486,800.0,800.0,0.1,300.0,42.0,0.09752694
